"가정별","시점",총인구(명),남자(명),여자(명),성비(여자1백명당),인구성장률,인구(명): 0-14세,인구(명): 15-64세,인구(명): 65세 이상,- 구성비(%): 0-14세,- 구성비(%): 15-64세,- 구성비(%): 65세 이상,총부양비,유소년부양비,노년부양비,노령화지수,중위연령(세),중위연령(세)-남자,중위연령(세)-여자,평균연령(세),평균연령(세)-남자,평균연령(세)-여자
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1960",25012374,12550691,12461683,100.7,-,10587583,13698341,726450,42.3,54.8,2.9,82.6,77.3,5.3,6.9,19.0,18.2,19.8,23.1,22.3,23.9
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1961",25765673,12936583,12829090,100.8,2.97,11065019,13949773,750881,42.9,54.1,2.9,84.7,79.3,5.4,6.8,18.9,18.0,19.7,22.9,22.2,23.7
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1962",26513030,13320983,13192047,101.0,2.86,11472623,14257691,782716,43.3,53.8,3.0,86.0,80.5,5.5,6.8,18.7,17.9,19.6,22.9,22.1,23.7
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1963",27261747,13708120,13553627,101.1,2.78,11850374,14595205,816168,43.5,53.5,3.0,86.8,81.2,5.6,6.9,18.5,17.7,19.4,22.9,22.1,23.7
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1964",27984155,14081950,13902205,101.3,2.62,12215638,14923382,845135,43.7,53.3,3.0,87.5,81.9,5.7,6.9,18.3,17.6,19.2,22.9,22.1,23.7
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1965",28704674,14452831,14251843,101.4,2.54,12577740,15245851,881083,43.8,53.1,3.1,88.3,82.5,5.8,7.0,18.3,17.6,19.1,23.0,22.2,23.8
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1966",29435571,14829861,14605710,101.5,2.51,12916059,15592878,926634,43.9,53.0,3.1,88.8,82.8,5.9,7.2,18.3,17.6,19.1,23.1,22.3,23.9
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1967",30130983,15205393,14925590,101.9,2.34,13199493,16003566,927924,43.8,53.1,3.1,88.3,82.5,5.8,7.0,18.3,17.6,19.1,23.1,22.4,23.9
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1968",30838302,15576098,15262204,102.1,2.32,13459383,16445982,932937,43.6,53.3,3.0,87.5,81.8,5.7,6.9,18.3,17.6,19.1,23.2,22.5,24.0
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1969",31544266,15940965,15603301,102.2,2.26,13638232,16957491,948543,43.2,53.8,3.0,86.0,80.4,5.6,7.0,18.4,17.7,19.1,23.4,22.7,24.1
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1970",32240827,16308607,15932220,102.4,2.18,13709367,17540152,991308,42.5,54.4,3.1,83.8,78.2,5.7,7.2,18.5,17.9,19.2,23.6,22.8,24.3
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1971",32882704,16648884,16233820,102.6,1.97,13764089,18064092,1054523,41.9,54.9,3.2,82.0,76.2,5.8,7.7,18.6,18.0,19.4,23.8,23.0,24.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1972",33505406,16955438,16549968,102.4,1.88,13858472,18602276,1044658,41.4,55.5,3.1,80.1,74.5,5.6,7.5,18.7,18.0,19.4,23.8,23.0,24.6
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","1973",34103149,17234877,16868272,102.2,1.77,13849385,19176510,1077254,40.6,56.2,3.2,77.8,72.2,5.6,7.8,18.9,18.3,19.6,23.9,23.1,24.8
