행정구역,시군구,면적,인구수,남자,여자,유소년,생산가능인구,고령인구,외국인,외국인(남),외국인(여),인구밀도,인구증가율
서울특별시,종로구,23.91,149384,70183,74500,11918,105156,27609,9106,4003,5103,6051.15,-3.15
서울특별시,중구,9.96,125240,59630,62869,9352,89110,24037,9288,4453,4835,12299.1,-2.19
서울특별시,용산구,21.87,230040,107210,115743,19604,164797,38552,14332,7875,6457,10194.47,-3.08
서울특별시,성동구,16.86,293556,139380,146610,28220,211569,46201,6682,2879,3803,16962.63,-2.58
서울특별시,광진구,17.06,346682,164058,175938,29611,258935,51450,12631,5259,7372,19929.43,-1.93
서울특별시,동대문구,14.22,342837,166646,170754,30495,244896,62009,14606,5516,9090,23727.14,-1.59
서울특별시,중랑구,18.5,394702,191112,196238,33325,282465,71560,4535,1791,2744,20937.84,-1.86
서울특별시,성북구,24.58,437153,207578,222950,44582,311401,74545,9614,3572,6042,17515.38,-1.52
서울특별시,강북구,23.6,308055,145705,153477,23870,211094,64218,3381,1279,2102,12677.2,-2.88
서울특별시,도봉구,20.65,325257,154487,162879,28488,224764,64114,2007,734,1273,15368.81,-2.43
서울특별시,노원구,35.44,523037,246053,264903,54122,368563,88271,3990,1760,2230,14417.49,-2.31
서울특별시,은평구,29.71,479835,226458,246849,45280,340989,87038,3866,1566,2300,15930.9,-1.36
서울특별시,서대문구,17.63,312173,145694,159125,29460,221537,53822,10840,3813,7027,17289.79,-2.36
서울특별시,마포구,23.85,371890,173504,195401,37283,277391,54231,9781,3729,6052,15467.71,-0.8
서울특별시,양천구,17.41,454251,219214,228088,54121,324698,68483,3185,1323,1862,25692.25,-1.53
서울특별시,강서구,41.45,580185,276292,298023,57891,424088,92336,5453,2428,3025,13855.61,-1.01
서울특별시,구로구,20.12,404408,195537,201217,40460,284849,71445,24409,13336,11073,19719.38,-1.89
서울특별시,금천구,13.02,231733,116527,114284,18186,172183,40442,14080,7583,6497,17727.42,-0.4
서울특별시,영등포구,24.55,379480,185926,190911,36369,279173,61295,24071,12814,11257,15349.78,-0.7
서울특별시,동작구,16.36,391220,186426,199057,35940,283223,66320,8881,3815,5066,23562.53,-1.47
서울특별시,관악구,29.57,495060,243991,241708,32194,374134,79371,13750,6067,7683,16425.4,-1.89
서울특별시,서초구,46.98,425126,197034,215245,54730,296975,60574,3888,1880,2008,8775.63,-3.02
서울특별시,강남구,39.5,539231,255047,277995,64520,390444,78078,4758,2233,2525,13494.73,-1.15
서울특별시,송파구,33.88,667960,317346,340992,77329,483506,97503,5627,2549,3078,19431.46,-1.44
서울특별시,강동구,24.59,459970,227002,235662,54212,334509,73943,3808,1680,2128,18815.13,0.59
부산광역시,중구,2.83,41523,19755,20769,1950,27368,11206,2085,1365,720,14319.43,-2.41
부산광역시,서구,13.95,108135,50853,54311,8742,68893,27529,1979,1198,781,7538.64,-2.75
부산광역시,동구,9.87,88901,42877,44802,6246,57673,23760,2033,974,1059,8883.38,-1.37
부산광역시,영도구,14.2,113342,54471,56167,8264,70393,31981,1813,1105,708,7791.41,-2.39
부산광역시,부산진구,29.67,359886,170181,182978,31812,249008,72339,2743,1081,1662,11902.9,-1.87
부산광역시,동래구,16.63,270745,129681,137185,31110,183927,51829,1138,412,726,16047.26,-1.43
부산광역시,남구,26.82,267731,127955,134114,27848,178835,55386,5353,2699,2654,9771.4,-2.11
부산광역시,북구,39.37,283952,139795,143416,29148,201557,52506,2179,996,1183,7193.57,-0.26
부산광역시,해운대구,51.54,402169,190624,205814,45410,277722,73306,4693,2277,2416,7691.85,-1.43
부산광역시,사하구,41.77,311757,152197,153806,30320,213405,62278,4192,2484,1708,7325.9,-1.85
부산광역시,금정구,65.28,232666,111513,116536,20316,157332,50401,3947,1554,2393,3493.4,-1.98
부산광역시,강서구,181.5,137957,74047,68871,27851,97222,17845,4429,3611,818,787.43,3.6
부산광역시,연제구,12.1,209157,99761,107383,22043,142788,42313,906,346,560,17119.34,-0.96
부산광역시,수영구,10.22,176894,82609,92486,15388,120736,38971,1717,766,951,17132.58,-1.02
부산광역시,사상구,36.1,212586,105034,103264,18232,149188,40878,4473,2406,2067,5770.03,-2.02
부산광역시,기장군,218.32,174545,87691,89434,28228,119540,29357,2049,1301,748,811.31,1.48
대구광역시,중구,7.06,76547,35948,38843,7415,51680,15696,720,328,392,10593.63,-2.29
대구광역시,동구,182.15,341920,167888,173548,37169,233818,70449,1660,553,1107,1874.48,-0.14
대구광역시,서구,17.32,170700,82241,82287,11347,113603,39578,2031,1090,941,9499.31,-3.62
대구광역시,남구,17.43,146632,68799,74376,10329,98232,34614,1827,831,996,8214.29,-2.36
대구광역시,북구,93.99,440263,217420,219588,51828,317944,67236,4634,2148,2486,4649.52,-0.74
